event_id,customer_id,event_type,product,color,price,event_timestamp
493827,192,view,shoes,red,72.52,2026-01-24 08:02:56.183197
682875,127,view,shoes,black,84.64,2025-12-25 08:02:56.183213
728301,64,add_to_cart,tshirt,white,87.32,2026-01-11 08:02:56.183218
690622,471,view,jacket,green,26.92,2025-12-24 08:02:56.183221
109594,283,view,tshirt,white,105.71,2026-01-23 08:02:56.183225
387882,212,view,shoes,blue,103.3,2026-01-11 08:02:56.183228
516830,75,purchase,tshirt,black,108.01,2026-01-10 08:02:56.183231
966017,470,view,shoes,blue,62.21,2026-01-08 08:02:56.183236
660083,199,view,socks,blue,14.06,2026-01-27 08:02:56.183241
273825,436,purchase,shoes,red,19.89,2026-01-17 08:02:56.183245
986066,157,purchase,socks,green,82.08,2026-01-28 08:02:56.183248
726547,486,purchase,jacket,green,19.07,2026-02-19 08:02:56.183251
909082,260,view,socks,green,18.27,2026-02-09 08:02:56.183254
670717,393,purchase,shoes,black,92.79,2026-01-02 08:02:56.183257
286456,226,view,socks,green,8.9,2026-01-20 08:02:56.183260
335929,57,add_to_cart,tshirt,green,81.8,2026-01-24 08:02:56.183263
750766,422,add_to_cart,jacket,green,49.82,2025-12-25 08:02:56.183265
615901,74,add_to_cart,jacket,white,109.39,2026-01-01 08:02:56.183272
140848,230,purchase,jacket,blue,113.85,2026-02-02 08:02:56.183276
136774,473,purchase,jacket,black,89.58,2026-02-01 08:02:56.183279
426239,363,purchase,tshirt,blue,67.46,2026-01-30 08:02:56.183282
250319,388,purchase,jacket,red,92.2,2026-01-27 08:02:56.183285
848919,374,view,shoes,blue,32.46,2026-01-10 08:02:56.183287
118987,116,add_to_cart,socks,green,5.28,2026-02-03 08:02:56.183290
504012,240,purchase,jacket,white,11.84,2026-02-19 08:02:56.183293
863021,371,view,jacket,green,76.73,2026-01-08 08:02:56.183296
604805,415,add_to_cart,jacket,white,59.02,2026-01-27 08:02:56.183299
824747,344,view,tshirt,red,18.19,2026-02-12 08:02:56.183302
192871,219,add_to_cart,jacket,red,98.52,2026-01-21 08:02:56.183305
509992,455,add_to_cart,socks,white,56.63,2026-02-01 08:02:56.183308
994255,437,view,socks,red,96.49,2026-02-17 08:02:56.183311
598545,91,view,shoes,white,37.15,2026-02-08 08:02:56.183314
628263,198,view,socks,white,89.92,2026-02-16 08:02:56.183316
523857,294,view,socks,black,105.85,2026-01-06 08:02:56.183319
248847,306,purchase,socks,blue,74.85,2025-12-25 08:02:56.183323
803762,397,add_to_cart,shoes,blue,102.93,2025-12-23 08:02:56.183328
165336,202,purchase,tshirt,black,98.88,2026-01-31 08:02:56.183330
931752,444,view,jacket,black,56.43,2026-01-01 08:02:56.183333
732299,348,purchase,shoes,blue,98.14,2026-01-05 08:02:56.183336
913433,210,add_to_cart,socks,red,59.17,2026-01-16 08:02:56.183339
749926,171,add_to_cart,socks,white,24.6,2026-01-22 08:02:56.183342
358349,152,view,socks,green,48.77,2026-01-19 08:02:56.183345
